"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Icewind Dale Trinket","IDRotF","263","none","adventuring gear","","","","","","","Icewind Dale Trinketsd100Trinket01-04A small wooden figurine of a yawning walrus, painted in red and black05-08A pair of scrimshaw cufflinks with an image of a fisherman on a boat engraved on them09-12A small iron key with a frayed blue and gold cord tied to it13-16A small illustrated book of Northlander myths that has pages missing17-20A damaged scrimshaw cameo depicting a merfolk21-24A stone from a burial cairn with a tiny Dwarvish rune carved into it25-28A ripped cloth sail with a symbol you don't recognize29-32An Ulu knife with a scrimshaw handle33-36A jar containing an unidentifiable, sweet, sticky substance37-40A delicate glass ball painted with snowflakes, capped by a metal loop with a tiny hook attached to it41-44An expedition log with missing pages and a pressed flower used as a bookmark45-48An owl figurine carved from whalebone49-52A sewing box that smells of old wood and has three spools of blue thread inside53-56A scrimshaw-handled ink pen with black runic designs along its length57-60A brooch made from a small insect encased in amber61-64A scrimshaw pepper shaker etched with the letter W65-68An old, wooden-handled ice pick stained with blood that won't wash off69-72A fabric doll bearing an angry expression73-76A set of wind chimes made from seashells77-80A beautiful silver tin that, when opened, emits the smell of rotting fish81-84A bloodstained dreamcatcher made from fishing line, gold wire, and snowy owlbear feathers85-88A figurine of a polar bear made of ice that never melts89-92A snow globe that doesn't need to be shaken93-96A piece of sea glass shaped like a unicorn's horn97-00A dark blue scarf that gets lighter in shade the higher the altitude of the wearer"
"Ink","PHB'24","226","none","adventuring gear","","","","","","10 gp","Ink comes in a 1-ounce bottle, which provides enough ink to write about 500 pages."
"Ink Pen","PHB'24","226","none","adventuring gear","","","","","","2 cp","Using Ink, an Ink Pen is used to write or draw."
"Insect Repellent (block of incense)","ToA","32","none","adventuring gear","","","","","","1 sp","Insect repellent can be purchased in Port Nyanzaru in two forms: blocks of incense or a greasy salve. The merchant prince Kwayothe controls the sale of both. Neither kind of repellent protects against giant insects or the vile swarms of insects described in appendix A of the Monster Manual.When lit, it burns for 8 hours and repels normal insects within a 20-foot-radius centered on it."
"Insect Repellent (greasy salve)","ToA","32","none","adventuring gear","","","","","","1 gp","Insect repellent can be purchased in Port Nyanzaru in two forms: blocks of incense or a greasy salve. The merchant prince Kwayothe controls the sale of both. Neither kind of repellent protects against giant insects or the vile swarms of insects described in appendix A of the Monster Manual.A gourd or vial of salve contains 20 applications of odorless grease. One application protects its wearer against normal insects for 24 hours. The salve is waterproof so it doesn't wash off in rain."
"Iron Pot","PHB'24","228","none","adventuring gear","","","","","10 lb.","2 gp","An Iron Pot holds up to 1 gallon."
"Iron Spike","PHB'24","228","none","adventuring gear","","","","","½ lb.","1 sp","Iron Spikes come in bundles of ten. As a Utilize action, you can use a blunt object, such as a Light Hammer, to hammer a spike into wood, earth, or a similar material. You can do so to jam a door shut or to then tie a Rope or Chain to the Spike."
"Iron Spikes","PHB'24","228","none","adventuring gear","","","","","5 lb.","1 gp","Iron Spikes come in bundles of ten. As a Utilize action, you can use a blunt object, such as a Light Hammer, to hammer a spike into wood, earth, or a similar material. You can do so to jam a door shut or to then tie a Rope or Chain to the Spike."
"Ivana's Whisper","VRGR","83","unknown","adventuring gear, poison (inhaled)","","","","","","","This poison bears a distinct scent and chemical message from Ivana Boritsi. A creature subjected to this poison must succeed on a DC 18 Constitution saving throw or experience the effects of a dream spell created by Ivana the next time they sleep. This poison is nonmagical, and Ivana doesn't directly communicate with those affected during the dream. Rather, she creates the illusion of speaking with her intended target by alchemically crafting her message, predicting her target's reactions, and chemically encoding in her responses. She wears this poison as a perfume or hides it within gift bouquets, allowing it to convey her message later."
"Jug","PHB'24","226","none","adventuring gear","","","","","4 lb.","2 cp","A Jug holds up to 1 gallon."
"Keg of Alchemist's Fire","LoX","35","none","adventuring gear","","","","","","","A keg of alchemist's fire lobbed at a creature or an object deals 21 (6d6) fire damage on a hit. Further, the target is set ablaze and takes the damage again every round (in the case of a creature, at the start of each of its turns) until the fire is put out. A creature within reach of the blaze can take an action to smother the flames using a blanket or carpet, reducing the fire damage by 2d6. Three such actions are needed to fully put out the fire."
"Khyber Trinket","ERLW","135","none","adventuring gear","","","","","","","Trinkets from Khyberd10Trinket1A pressed flower with vivid green petals; when you smell it, you hear eerie music2A tiny ball of putty; if you set it down, it begins to slowly crawl around3A perpetually warm disk of dark iron4A small journal with leathery pages; any words you write in it slowly disappear5A four-sided die carved with strange markings6A cameo with the silhouette of an unknown species7A preserved finger with purple flesh and four joints8A perfectly preserved eye; if you set it down, it rotates to follow your movement9A small box; when opened, you alone hear screaming10A preserved insect; you've never seen another like it"
"Ladder","PHB'24","226","none","adventuring gear","","","","","25 lb.","1 sp","A Ladder is 10 feet tall. You must climb to move up or down it."
"Lamp","PHB'24","226","none","adventuring gear","","","","","1 lb.","5 sp","A Lamp burns Oil as fuel to cast Bright Light in a 15-foot radius and Dim Light for an additional 30 feet."
"Lock","PHB'24","226","none","adventuring gear","","","","","1 lb.","10 gp","A Lock comes with a key. Without the key, a creature can use Thieves' Tools to pick this Lock with a successful DC 15 Dexterity (Sleight of Hand) check."
"Lolth's Sting","DMG'24","91","none","adventuring gear, poison (injury)","","","","","","200 gp","A creature subjected to Lolth's Sting must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 hour. If the creature fails the save by 5 or more, the creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
"Lorehold Trinket","SCC","31","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Lorehold Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Lorehold Trinketsd6Trinket1A map made of concentric circles that can be rotated around the page2A puzzle box bedecked with amber3A dented brass compass with a red needle4The head of a broken statue that houses the consciousness of a snarky sage5A sheet of parchment embossed with tactile lettering, glowing red6A broken dagger with a wavy blade and a serpentine hilt"
"Magnifying Glass","PHB'24","226","none","adventuring gear","","","","","","100 gp","A Magnifying Glass grants Advantage on any ability check made to appraise or inspect a highly detailed item. Lighting a fire with a Magnifying Glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite."
"Malice","DMG'24","91","none","adventuring gear, poison (inhaled)","","","","","","250 gp","A creature subjected to Malice must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour. The creature also has the Blinded condition while Poisoned in this way."
"Manacles","PHB'24","226","none","adventuring gear","","","","","6 lb.","2 gp","As a Utilize action, you can use Manacles to bind an unwilling Small or Medium creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Dexterity (Sleight of Hand) check. While bound, a creature has Disadvantage on attack rolls, and the creature is Restrained if the Manacles are attached to a chain or hook that is fixed in place. Escaping the Manacles requires a successful DC 20 Dexterity (Sleight of Hand) check as an action. Bursting them requires a successful DC 25 Strength (Athletics) check as an action.Each set of Manacles comes with a key. Without the key, a creature can use Thieves' Tools to pick the Manacles' lock with a successful DC 15 Dexterity (Sleight of Hand) check."
"Map","PHB'24","227","none","adventuring gear","","","","","","1 gp","If you consult an accurate Map, you gain a +5 bonus to Wisdom (Survival) checks you make to find your way in the place represented on it."
"Map or Scroll Case","PHB'24","224","none","adventuring gear","","","","","1 lb.","1 gp","A Map or Scroll Case holds up to 10 sheets of paper or 5 sheets of parchment."
"Menga leaves (1 ounce)","ToA","205","unknown","adventuring gear","","","","","1 oz.","2 gp","The dried leaves of a menga bush can be ground, dissolved in a liquid, heated, and ingested. A creature that ingests 1 ounce of menga leaves in this fashion regains 1 hit point. A creature that ingests more than 5 ounces of menga leaves in a 24-hour period gains no additional benefit and must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 hour. The unconscious creature awakens if it takes at least 5 damage on one turn.A healthy menga bush usually has 2d6 ounces of leaves. Once picked, the leaves require 1 day to dry out before they can confer any benefit."
"Merchant's Scale","PHB'14","153","none","adventuring gear","","","","","3 lb.","5 gp","A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
"Mess Kit","PHB'14","152","none","adventuring gear","","","","","1 lb.","2 sp","This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
"Midnight Tears","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","1,500 gp","A creature that ingests Midnight Tears suffers no effect until the stroke of midnight. Any effect that ends the Poisoned condition neutralizes this poison. If the poison hasn't been neutralized before midnight, the creature makes a DC 17 Constitution saving throw, taking 31 (9d6) Poison damage on a failed save or half as much damage on a successful one."
"Miner's Pick","PHB'14","150","none","adventuring gear","","","","","10 lb.","2 gp",""
"Mirror","PHB'24","227","none","adventuring gear","","","","","½ lb.","5 gp","A handheld steel Mirror is useful for personal cosmetics but also for peeking around corners and reflecting light as a signal."
"Monster Hunter's Pack","VRGR","34","none","adventuring gear","","","","","48½ lb.","33 gp","Includes:a chesta crowbara hammerthree wooden stakesa holy symbola flask of holy watera set of manaclesa steel mirrora flask of oila tinderbox3 torches"
"Mournland Trinket","ERLW","222","none","adventuring gear","","","","","","","Mournland Trinketsd10Trinket1The favorite childhood toy of one of the adventurers, floating in midair2A tin whistle that makes beautiful colors and patterns magically appear when it's played3A toy lightning rail car4A glass eye5A silver lapel pin of a finely detailed gorgon's head with ruby eyes6A monocle that can be used as a telescope7A six-inch-tall mechanical marmoset in need of minor repairs8A small medallion made of silver, depicting a tower with an eye at the top of it and other smaller eyes embedded in the sides9A cloak pin made of iron in the shape of two hammers joined by a semicircular haft10A wooden dinosaur toy that has movable legs"
"Murgaxor's Elixir of Life","SCC","179","unknown","adventuring gear","","","","","","","Whoever drinks this concoction gains advantage on death saving throws for 24 hours."
"Narycrash","DSotDQ","188","none","adventuring gear","","","","","","","This backpack-sized device holds a balloon-based parachute. If you fall while wearing this device, you can use your reaction to deploy the parachute. Once deployed, the parachute rapidly inflates, and you descend 60 feet per round and take no damage from falling. When you are 10 feet away from the ground, roll a d20. If you roll a 5 or less, the parachute gives out, and you begin to fall normally."
"Needler Pistol","QftIS","192","none","adventuring gear","","","","","","","This strange pistol resembles a flask with a honeycomb of tubes sticking out its front. The weapon is powered by an energy cell stored at the base of the flask. Placing a full energy cell in the pistol gives the pistol 10 charges.As an action while holding this pistol, you can expend 1 of its charges to fire a burst of glowing, needlelike darts from the pistol in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 8d4 piercing damage on a failed save or half as much damage on a successful one. Replacing the Energy Cell. While the pistol has charges remaining, its energy cell can't be removed. Once the pistol has 0 charges, you can replace the energy cell with a new cell by using an action or a bonus action."
"Net","PHB'24","227","none","adventuring gear","","","","","3 lb.","1 gp","When you take the Attack action, you can replace one of your attacks with throwing a Net. Target a creature you can see within 15 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or have the Restrained condition until it escapes. The target succeeds automatically if it is Huge or larger.To escape, the target or a creature within 5 feet of it must take an action to make a DC 10 Strength (Athletics) check, freeing the Restrained creature on a success. Destroying the Net (AC 10; 5 HP; Immunity to Bludgeoning, Poison, and Psychic damage) also frees the target, ending the effect."
"Oil","PHB'24","227","none","adventuring gear","","","","","1 lb.","1 sp","You can douse a creature, object, or space with Oil or use it as fuel, as detailed below. Dousing a Creature or an Object. When you take the Attack action, you can replace one of your attacks with throwing an Oil flask. Target one creature or object within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or be covered in oil. If the target takes Fire damage before the oil dries (after 1 minute), the target takes an extra 5 Fire damage from burning oil. Dousing a Space. You can take the Utilize action to pour an Oil flask on level ground to cover a 5-foot-square area within 5 feet of yourself. If lit, the oil burns until the end of the turn 2 rounds from when the oil was lit (or 12 seconds) and deals 5 Fire damage to any creature that enters the area or ends its turn there. A creature can take this damage only once per turn. Fuel. Oil serves as fuel for Lamps and Lanterns. Once lit, a flask of Oil burns for 6 hours in a Lamp or Lantern. That duration doesn't need to be consecutive; you can extinguish the burning Oil (as a Utilize action) and rekindle it again until it has burned for a total of 6 hours."
"Oil of Taggit","DMG'24","91","none","adventuring gear, poison (contact)","","","","","","400 gp","A creature subjected to Oil of Taggit must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 24 hours. The creature also has the Unconscious condition while Poisoned in this way. It wakes up if it takes damage."
"Pale Tincture","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","250 gp","A creature subjected to Pale Tincture must succeed on a DC 16 Constitution saving throw or take 3 (1d6) Poison damage and have the Poisoned condition. The Poisoned creature repeats the save every 24 hours, taking 3 (1d6) Poison damage on a failed save. The damage the poison deals can't be healed by any means while the creature remains Poisoned. After seven successful saves against the poison, the creature is no longer Poisoned."
"Paper","PHB'24","227","none","adventuring gear","","","","","","2 sp","One sheet of Paper can hold about 250 handwritten words."
"Paralysis Pistol","QftIS","192","none","adventuring gear","","","","","","","This curious-looking pistol is shaped like a large, glass bulb with a handle on the bottom and brass prongs protruding from its front. The weapon is powered by an energy cell stored in its grip. Placing a full energy cell in the pistol gives the pistol 6 charges.As an action while holding this pistol, you can expend 1 of its charges to fire a ray of crackling energy at a creature you can see within 60 feet of yourself. The target must succeed on a DC 15 Constitution saving throw or have the paralyzed condition for 1 minute. At the end of each of the target's turns, it can repeat the saving throw, ending the effect on itself on a success. Replacing the Energy Cell. While the pistol has charges remaining, its energy cell can't be removed. Once the pistol has 0 charges, you can replace the energy cell with a new cell by using an action or a bonus action."
"Parchment","PHB'24","227","none","adventuring gear","","","","","","1 sp","One sheet of Parchment can hold about 250 handwritten words."
"Perfume","PHB'24","227","none","adventuring gear","","","","","","5 gp","Perfume comes in a 4-ounce vial. For 1 hour after applying Perfume to yourself, you have Advantage on Charisma (Persuasion) checks made to influence an Indifferent Humanoid within 5 feet of yourself."
"Pitcher","PHB'14","153","none","adventuring gear","","","","","4 lb.","2 cp","A pitcher holds 1 gallon of liquid."
"Piton","PHB'14","150","none","adventuring gear","","","","","¼ lb.","5 cp",""
"Planar Philosopher Trinket","SatO","8","none","adventuring gear","","","","","","","d6Trinket1Locket with a picture of my mentor and an inscription I can't read2Bleached cranium rat skull with colored glass beads in its eye sockets3Torn parchment with half a rebus painted on it4Bracelet of twisted razorvine stems5Fragment of a bronze blade covered in verdigris6Broken holy symbol of a forgotten god"
"Pole","PHB'24","228","none","adventuring gear","","","","","7 lb.","5 cp","A Pole is 10 feet long. You can use it to touch something up to 10 feet away. If you must make a Strength (Athletics) check as part of a High or Long Jump, you can use the Pole to vault, giving yourself Advantage on the check."
"Portable Ram","PHB'24","228","none","adventuring gear","","","","","35 lb.","4 gp","You can use a Portable Ram to break down doors. When doing so, you gain a +4 bonus to the Strength check. One other character can help you use the ram, giving you Advantage on this check."
"Pouch","PHB'24","228","none","adventuring gear","","","","","1 lb.","5 sp","A Pouch holds up to 6 pounds within one-fifth of a cubic foot."
"Priest's Pack","PHB'24","228","none","adventuring gear","","","","","29 lb.","33 gp","A Priest's Pack contains the following items: Backpack, Blanket, Holy Water, Lamp, 7 days of Rations, Robe, and Tinderbox."
"Prismari Trinket","SCC","32","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Prismari Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Prismari Trinketsd6Trinket1A pair of rose-tinted glasses with glittery frames2A stoppered glass bottle that, when opened, plays a brassy orchestral piece3A quartet of hovering water motes in a vial4A bandolier of watercolor paints5A tiara capped with a crystal that crackles with harmless lightning6An iridescent quill"
"Purple Worm Poison","DMG'24","91","none","adventuring gear, poison (injury)","","","","","","2,000 gp","A creature subjected to Purple Worm Poison makes a DC 21 Constitution saving throw, taking 35 (10d6) Poison damage on a failed save or half as much damage on a successful one."
"Quandrix Trinket","SCC","33","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Quandrix Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Quandrix Trinketsd6Trinket1A small succulent in a dodecahedral clay pot2A blue knit hat that looks a bit like a bottle folding in on itself3A model hypercube carved from green crystal, showcasing the fourth dimension4A crumpled test on the theory of gravity manipulation, with a failing grade on the front and the name of a famous Quandrix professor5A blue tetrahedron that, when tapped twice, projects a recording of an old mathematics lecture6A round bread roll cut so that someone could spread butter on both halves without ever lifting the knife"
"Quiver","PHB'24","228","none","adventuring gear","","","","","1 lb.","1 gp","A Quiver holds up to 20 Arrows."
"Rain Catcher","ToA","32","none","adventuring gear","","","","","5 lb.","1 gp","A rain catcher is a simple contraption consisting of a 5-foot-square leather tarp and a wooden frame with legs. When the tarp is stretched across the wooden frame, it forms a basin that can catch 2 gallons of drinking water per inch of rainfall and hold up to 8 gallons. The tarp and wooden frame fold up for easy transport."
"Rations","PHB'24","228","none","adventuring gear","","","","","2 lb.","5 sp","Rations consist of travel-ready food, including jerky, dried fruit, hardtack, and nuts. See ""Malnutrition"" for the risks of not eating."
"Robe","PHB'24","228","none","adventuring gear","","","","","4 lb.","1 gp","A Robe has vocational or ceremonial significance. Some events and locations admit only people wearing a Robe bearing certain colors or symbols."
"Robot Controller","QftIS","193","none","adventuring gear","","","","","","","This small handheld device features a glass pane with a glowing display that responds to your touch.The controller is powered by an energy cell stored in the device. Placing a full energy cell in the device gives the device 3 charges.As an action while holding this device, you can expend 1 of its charges to cause one of the following effects: Control. One Construct of your choice within 60 feet of you must succeed on a DC 15 Wisdom saving throw or have the charmed condition for 1 minute. While charmed in this way, the Construct obeys your verbal commands, and you and the Construct can communicate remotely with each other through the device. Whenever the charmed Construct takes damage, it can repeat the saving throw, ending the effect on itself on a success. Disrupt. Constructs of your choice within 30 feet of you must succeed on a DC 15 Wisdom saving throw or have the incapacitated condition for 1 minute. An incapacitated Construct can repeat the saving throw at the end of its turns, ending the effect on itself on a success. Replacing the Energy Cell. While the device has charges remaining, its energy cell can't be removed. Once the device has 0 charges, you can replace the energy cell with a new cell by using an action or a bonus action."
"Rope","PHB'24","228","none","adventuring gear","","","","","5 lb.","1 gp","As a Utilize action, you can tie a knot with Rope if you succeed on a DC 10 Dexterity (Sleight of Hand) check. The Rope can be burst with a successful DC 20 Strength (Athletics) check.You can bind an unwilling creature with the Rope only if the creature has the Grappled, Incapacitated, or Restrained condition. If the creature's legs are bound, the creature has the Restrained condition until it escapes. Escaping the Rope requires the creature to make a successful DC 15 Dexterity (Acrobatics) check as an action."
"Ryath Root","ToA","205","unknown","adventuring gear","","","","","","50 gp","Any creature that ingests a ryath root gains 2d4 temporary hit points. A creature that consumes more than one ryath root in a 24-hour period must succeed on a DC 13 Constitution saving throw or suffer the poisoned condition for 1 hour."
"Sack","PHB'24","228","none","adventuring gear","","","","","½ lb.","1 cp","A Sack holds up to 30 pounds within 1 cubic foot."
"Sarlona Trinket","ERLW","138","none","adventuring gear","","","","","","","Trinkets from Sarlonad8Trinket1A polished crystal sphere; when you clutch it in your fist, a telepathic voice recites a story in your mind2A teardrop pendant made from polished shell; when you hold it, you see the image of a young Riedran man3A six-sided crystal die; when you roll it, you feel a surge of emotion for six seconds4A sealed vial filled with faintly luminescent blue mist5A crystal disk engraved with a labyrinthine pattern6A leather-bound collection of kalashtar poetry called Shards of the Light7A sphere of polished crystal; when you hold it in your palm, you feel that it knows you and understands you8A cup and ball toy; when you successfully catch the ball in the cup, you feel a momentary surge of joy"
"Scholar's Pack","PHB'24","228","none","adventuring gear","","","","","22 lb.","40 gp","A Scholar's Pack contains the following items: Backpack, Book, Ink, Ink Pen, Lamp, 10 flasks of Oil, 10 sheets of Parchment, and Tinderbox."
"Sealing Wax","PHB'14","150","none","adventuring gear","","","","","","5 sp",""
"Secondhand Steal Trinket","BMT","108","none","adventuring gear","","","","","","","Secondhand Stealsd8Secondhand Steal1A pair of small, rose-tinted glasses with round lenses2A droopy potted plant in an old boot3A rusty metal goblet shaped like a frog opening its mouth to the sky4A wide-brimmed, palm-frond sunhat that has been chewed on5A utensil shaped like a fork on one end and a spoon on the other6A thick, sun-yellowed book on seasonal agriculture written in Halfling7A well-used squeaky toy in the shape of a garden gnome with a red hat8A glass statuette of a rust monster"
"Serpent Venom","DMG'24","91","none","adventuring gear, poison (injury)","","","","","","200 gp","A creature subjected to Serpent Venom must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) Poison damage on a failed save or half as much damage on a successful one."
"Shovel","PHB'24","228","none","adventuring gear","","","","","5 lb.","2 gp","Working for 1 hour, you can use a Shovel to dig a hole that is 5 feet on each side in soil or similar material."
"Signal Whistle","PHB'24","228","none","adventuring gear","","","","","","5 cp","When blown as a Utilize action, a Signal Whistle produces a sound that can be heard up to 600 feet away."
"Signet Ring","PHB'14","150","none","adventuring gear","","","","","","5 gp",""
"Silk Rope (50 feet)","PHB'14","153","none","adventuring gear","","","","","5 lb.","10 gp","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
"Silverquill Trinket","SCC","35","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Silverquill Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Silverquill Trinketsd6Trinket1A black leather notebook filled with half-finished poems2A set of flashcards detailing different colloquialisms and their meanings3A canteen that makes any liquid drunk from it taste sweet4A forged permission slip granting access to the special archives of Strixhaven's libraries5A stylish silver pin that references a famous series of novels about warlocks6A stack of small pieces of parchment, each enchanted to stick to whatever surface it's pressed against and peel off easily"
"Sinda berries (10)","ToA","205","unknown","adventuring gear","","","","","","5 gp","These berries are dark brown and bitter. A full-grown sinda berry bush has 4d6 berries growing on it. A bush plucked of all its berries grows new berries in 1d4 months. Picked berries lose their freshness and efficacy after 24 hours.Fresh sinda berries can be eaten raw or crushed and added to a drink to dull the bitterness. A creature that consumes at least ten fresh sinda berries gains advantage on saving throws against disease and poison for the next 24 hours."
"Sledgehammer","PHB'14","150","none","adventuring gear","","","","","10 lb.","2 gp",""
"Snowshoes","IDRotF","20","none","adventuring gear","","","","","4 lb.","2 gp","Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow."
"Soap","PHB'14","150","none","adventuring gear","","","","","","2 cp",""
"Spaceship Trinket","QftIS","161","none","adventuring gear","","","","","","","The Spaceship Trinkets table below offers a selection of trinkets appropriate for adventures with sci-fi themes. The adventure includes encounters that ask you to roll on the table to determine what random trinkets the characters find in certain locations on the spaceship. None of the trinkets requires an energy cell.Spaceship Trinketsd100Trinket01-02Disembodied robot arm with a mind of its own03-04Wearable blanket with sleeves and a hood05-06Small, rectangular device that can record and play back audio of up to 1 minute in length07-08Glow-in-the-dark ink pen09-10Fashionable jumpsuit11-12Compact scanner that reports whether an object is recyclable in a cheery tone13-14Wristwatch programmed to beep at a specific time15-16Handheld cylinder that produces a 15-foot cone of bright light for up to 1 hour every 24 hours17-18Colorful toy ray gun with lights and sounds19-20Bottle of fizzy, sweet-tasting liquid21-22Map of an unexplored star system23-24Motorized toothbrush that might have been used25-26Tiny robot that shines boots and shoes27-28Pressurized red canister with a flexible hose that, when squeezed as an action, sprays a 15-foot cone of foam. The foam extinguishes all nonmagical flames in the cone. The canister can perform this action only once.29-30Loaf of space bread covered in blue-green mold31-32Handheld screen that plays a children's story about a friendly, three-eyed frog named Swampy33-34Compact device that displays the current weather35-36Empty metal bottle that maintains the temperature of liquids stored in it for 1d4 hours37-38Tiny disc that emits a high-pitched noise in the presence of smoke or mild cooking fumes39-40Aerosolized can of metal polish41-42Identification badge of a deceased crew member43-44Depleted energy cell45-46Pocket-sized instrument that clicks rapidly within 10 feet of radiation (see the ""Spaceship Features"" section later in this adventure)47-48Vacuum-sealed package of shriveled frankfurters49-50Tin hat that telepathically broadcasts the wearer's surface thoughts to creatures within 10 feet of it51-52Chalky moon rock53-54Collar that, when placed on a Medium or smaller Beast, translates its cries into Common55-56Bottle of expired medicine for treating dizziness57-58Tiny speaker that plays a catchy tune in an unknown language59-60Handheld tool for removing bolts and screws61-62Cautionary pamphlet about the dangers of space63-64Miniature flying saucer65-66Tiny, animatronic bunny that hops after the creature that activates it67-68Stick of deodorant with a surprising scent69-70Countertop appliance that can transform any fruit into a pulpy juice71-72Glass pendant filled with stardust73-74Pot containing an artificially dwarfed tree75-76Otherworldly insect preserved in amber77-78Syringe filled with a viscous, yellow serum79-80Tiny brass orrery81-82Log of passenger names83-84Gas mask with a hole in it85-86Small glass terrarium with an empty cocoon87-88Dongle that never plugs in correctly on the first try89-90Holster fashioned from an unknown reptile's hide91-92Severed bundle of important-looking wires93-94Prosthetic limb with magnetic attachments95-96Set of polyhedral dice that buzz and flash when they land on their highest result97-98Musical instrument that plays electronic tones99-00Trading card of a beloved fictional hero from a far-off world"
"Spellbook","PHB'14","153","none","adventuring gear","","","","","3 lb.","50 gp","Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
"Spyglass","PHB'24","229","none","adventuring gear","","","","","1 lb.","1,000 gp","Objects viewed through a Spyglass are magnified to twice their size."
"String","PHB'24","229","none","adventuring gear","","","","","","1 sp","String is 10 feet long. You can tie a knot in it as a Utilize action."
"Tankard","PHB'14","153","none","adventuring gear","","","","","1 lb.","2 cp","A tankard holds 1 pint of liquid."
"Tent","PHB'24","229","none","adventuring gear","","","","","20 lb.","2 gp","A Tent sleeps up to two Small or Medium creatures."
"The Incantations of Iriolarthas","IDRotF","317","unknown","adventuring gear","","","","","3 lb.","","The Incantations of Iriolarthas is a weighty spellbook. Its black leather covers have dead, toothy worms glued to them, sheathed in glossy varnish. Set into this morbid display on the front cover is a gold rune that resembles a stylized eye with a pupil shaped like a candle flame—the sigil of Iriolarthas, a Netherese lich.The book contains sixty pages of brittle yellow vellum. Written on these pages are the following wizard spells:1st level: alarm, detect magic, identify, magic missile, shield, Tasha's hideous laughter, thunderwave2nd level: arcane lock, continual flame, invisibility, knock, levitate, Melf's acid arrow, mirror image3rd level: animate dead, bestow curse, clairvoyance, counterspell, dispel magic, fireball, glyph of warding4th level: arcane eye, banishment, blight, dimension door, Evard's black tentacles, phantasmal killer5th level: Bigby's hand, cloudkill, dominate person, planar binding, scrying, telekinesis6th level: create undead, disintegrate, globe of invulnerability, move earth, Otto's irresistible dance7th level: create magen, finger of death, prismatic spray, teleport8th level: demiplane, dominate monster, mind blank, power word stun9th level: blade of disaster, power word kill"
"Tinderbox","PHB'24","229","none","adventuring gear","","","","","1 lb.","5 sp","A Tinderbox is a small container holding flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a Candle, Lamp, Lantern, or Torch—or anything else with exposed fuel—takes a Bonus Action. Lighting any other fire takes 1 minute."
"Tome of Strahd","CoS","221","none","adventuring gear","","","","","5 lb.","","The Tome of Strahd is an ancient work penned by Strahd, a tragic tale of how he came to his fallen state. The book is bound in a thick leather cover with steel hinges and fastenings. The pages are of parchment and very brittle. Most of the book is written in the curious shorthand that only Strahd employs. Stains and age have made most of the work illegible, but several paragraphs remain intact."
"Torch","PHB'24","229","none","adventuring gear","","","","","1 lb.","1 cp","A Torch burns for 1 hour, casting Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. When you take the Attack action, you can attack with the Torch, using it as a Simple Melee weapon. On a hit, the target takes 1 Fire damage."
"Torpor","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","600 gp","A creature subjected to Torpor poison must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 4d6 hours. The creature's Speed is halved while the creature is Poisoned in this way."
"Traveler's Clothes","PHB'24","225","none","adventuring gear","","","","","4 lb.","2 gp","Traveler's Clothes are resilient garments designed for travel in various environments."
